Date,SHY,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,Cash
2018-01-07,4400.0,300.0,300.0,0.0,800.0,0.0,300.0,0.0,0.0,0.0,0.0,3475.889999999984
2018-01-14,3500.0,300.0,700.0,0.0,1700.0,0.0,700.0,0.0,0.0,0.0,0.0,1458.909999999978
2018-01-21,3500.0,300.0,700.0,0.0,1700.0,0.0,700.0,0.0,0.0,0.0,0.0,1458.9099999999808
2018-01-28,3300.0,300.0,700.0,0.0,1700.0,200.0,700.0,0.0,0.0,0.0,0.0,2243.189999999987
2018-02-04,2900.0,300.0,700.0,0.0,1600.0,600.0,700.0,0.0,0.0,0.0,0.0,6348.359999999972
2018-02-11,2700.0,300.0,800.0,0.0,1700.0,600.0,700.0,0.0,0.0,0.0,100.0,3494.1099999999824
2018-02-18,2400.0,200.0,800.0,300.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,4507.059999999982
2018-02-25,2200.0,200.0,700.0,700.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,471.1699999999828
2018-03-04,2200.0,200.0,700.0,700.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,471.1699999999828
2018-03-11,2200.0,200.0,800.0,700.0,1700.0,600.0,600.0,0.0,0.0,0.0,400.0,1364.9099999999635
2018-03-18,2200.0,200.0,700.0,700.0,1700.0,600.0,600.0,0.0,0.0,0.0,400.0,7351.4799999999605
2018-03-25,2200.0,200.0,800.0,700.0,1700.0,600.0,600.0,0.0,0.0,0.0,400.0,1554.6999999999543
2018-04-01,2100.0,200.0,800.0,700.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,3381.7199999999348
2018-04-08,2100.0,200.0,800.0,700.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,3381.7199999999466
2018-04-15,2200.0,200.0,800.0,600.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,1742.189999999955
2018-04-22,2200.0,200.0,800.0,600.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,1742.1899999999441
2018-04-29,2200.0,200.0,800.0,600.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,1742.1899999999696
2018-05-06,2200.0,200.0,800.0,600.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,1742.1899999999596
2018-05-13,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5734.1499999999505
2018-05-20,2300.0,200.0,800.0,600.0,1700.0,600.0,600.0,0.0,0.0,0.0,400.0,355.37999999994736
2018-05-27,2300.0,200.0,800.0,600.0,1700.0,600.0,600.0,0.0,0.0,0.0,400.0,355.3799999999619
2018-06-03,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.929999999949
2018-06-10,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.929999999949
2018-06-17,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.9299999999575
2018-06-24,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.929999999948
2018-07-01,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.929999999919
2018-07-08,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.929999999905
2018-07-15,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.929999999892
2018-07-22,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.929999999884
2018-07-29,3400.0,200.0,800.0,600.0,0.0,0.0,600.0,0.0,0.0,0.0,400.0,359.8499999998967
2018-08-05,3900.0,200.0,0.0,600.0,0.0,0.0,600.0,0.0,0.0,0.0,400.0,6184.8199999999015
2018-08-12,3900.0,200.0,0.0,600.0,0.0,0.0,600.0,0.0,0.0,0.0,400.0,6184.819999999905
2018-08-19,3900.0,200.0,0.0,600.0,0.0,0.0,600.0,0.0,0.0,0.0,400.0,6184.819999999905
2018-08-26,3900.0,200.0,0.0,600.0,0.0,0.0,600.0,0.0,0.0,0.0,400.0,6184.8199999999015
2018-09-02,3900.0,200.0,0.0,600.0,0.0,0.0,600.0,0.0,0.0,0.0,400.0,6184.819999999905
2018-09-09,3800.0,200.0,0.0,600.0,0.0,0.0,600.0,0.0,0.0,200.0,300.0,7632.809999999896
2018-09-16,3500.0,200.0,0.0,600.0,0.0,0.0,600.0,0.0,0.0,500.0,300.0,4794.569999999876
2018-09-23,3500.0,200.0,0.0,600.0,0.0,0.0,600.0,0.0,0.0,500.0,300.0,4794.569999999887
2018-09-30,3800.0,200.0,0.0,0.0,0.0,0.0,600.0,0.0,400.0,500.0,300.0,3637.079999999899
2018-10-07,3500.0,200.0,0.0,0.0,0.0,0.0,600.0,0.0,900.0,500.0,300.0,2305.8599999999024
2018-10-14,3300.0,200.0,0.0,0.0,0.0,0.0,600.0,0.0,900.0,500.0,400.0,7537.919999999897
2018-10-21,3300.0,200.0,0.0,0.0,0.0,0.0,600.0,0.0,900.0,500.0,400.0,7537.919999999896
2018-10-28,3400.0,200.0,0.0,0.0,0.0,0.0,600.0,0.0,800.0,500.0,400.0,4716.089999999895
2018-11-04,3300.0,200.0,0.0,0.0,0.0,0.0,600.0,0.0,900.0,500.0,400.0,7673.819999999891
2018-11-11,3300.0,200.0,0.0,0.0,0.0,0.0,600.0,0.0,900.0,500.0,400.0,7673.81999999988
2018-11-18,3100.0,200.0,0.0,300.0,0.0,0.0,600.0,0.0,900.0,500.0,400.0,3875.749999999869
2018-11-25,3300.0,200.0,0.0,0.0,0.0,0.0,700.0,0.0,800.0,500.0,400.0,5871.0699999998615
2018-12-02,3100.0,200.0,0.0,0.0,0.0,0.0,700.0,400.0,800.0,500.0,400.0,726.6099999998551
2018-12-09,2900.0,200.0,0.0,0.0,0.0,0.0,700.0,800.0,800.0,400.0,400.0,4530.759999999849
2018-12-16,3300.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,500.0,400.0,7415.759999999853
2018-12-23,3800.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,500.0,0.0,6765.769999999859
2018-12-30,3000.0,400.0,0.0,0.0,0.0,0.0,0.0,1000.0,900.0,600.0,0.0,1492.3799999998664
2019-01-06,3000.0,400.0,0.0,0.0,0.0,0.0,0.0,1000.0,900.0,600.0,0.0,1492.3799999998664
2019-01-13,3400.0,300.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,500.0,0.0,7083.759999999867
2019-01-20,3400.0,300.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,500.0,0.0,7083.759999999864
2019-01-27,4000.0,300.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,0.0,0.0,2205.6799999998584
2019-02-03,3800.0,300.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,200.0,0.0,1083.2399999998597
2019-02-10,3500.0,300.0,0.0,0.0,0.0,0.0,0.0,900.0,800.0,500.0,0.0,4306.729999999865
2019-02-17,3500.0,300.0,0.0,0.0,0.0,0.0,0.0,900.0,800.0,500.0,0.0,4306.729999999865
2019-02-24,3500.0,300.0,0.0,0.0,0.0,0.0,0.0,900.0,800.0,500.0,0.0,4306.729999999858
2019-03-03,3500.0,300.0,0.0,0.0,0.0,0.0,0.0,900.0,800.0,500.0,0.0,4306.72999999985
2019-03-10,3500.0,300.0,0.0,0.0,0.0,0.0,0.0,900.0,800.0,500.0,0.0,4306.729999999847
2019-03-17,3200.0,400.0,0.0,0.0,0.0,0.0,0.0,900.0,800.0,500.0,0.0,2004.479999999854
2019-03-24,2600.0,500.0,0.0,0.0,0.0,300.0,0.0,900.0,800.0,500.0,0.0,1765.0799999998708
2019-03-31,2000.0,600.0,0.0,0.0,0.0,600.0,0.0,800.0,800.0,500.0,0.0,7689.1999999998625
2019-04-07,1400.0,700.0,0.0,0.0,0.0,700.0,0.0,900.0,900.0,600.0,0.0,1615.0799999998671
2019-04-14,1000.0,800.0,0.0,0.0,0.0,700.0,0.0,1000.0,900.0,600.0,0.0,688.8399999998655
2019-04-21,400.0,900.0,0.0,0.0,0.0,700.0,300.0,900.0,900.0,600.0,0.0,4460.539999999863
2019-04-28,600.0,900.0,0.0,0.0,0.0,500.0,600.0,800.0,800.0,500.0,0.0,37.65999999985797
2019-05-05,200.0,900.0,0.0,0.0,0.0,600.0,600.0,800.0,800.0,500.0,200.0,1721.2999999998574
2019-05-12,700.0,900.0,0.0,0.0,0.0,500.0,600.0,800.0,800.0,0.0,300.0,696.2999999998574
2019-05-19,600.0,900.0,0.0,0.0,0.0,600.0,600.0,800.0,800.0,0.0,300.0,1471.2999999998574
2019-05-26,600.0,900.0,0.0,0.0,0.0,600.0,600.0,800.0,700.0,0.0,300.0,7349.299999999857
2019-06-02,700.0,900.0,0.0,0.0,0.0,600.0,600.0,700.0,700.0,0.0,300.0,4678.299999999857
